group,names,scores,logfoldchanges,pvals,pvals_adj
3,Ctsc,63.24126,2.333675,0.0,0.0
3,Osm,63.18372,2.8924317,0.0,0.0
3,Lilrb4,62.40225,2.2482903,0.0,0.0
3,Klf2,61.823246,1.6699675,0.0,0.0
3,LOC120099372,61.747845,3.038404,0.0,0.0
3,Slpi,60.637226,2.5121524,0.0,0.0
3,Stfa2l2,60.36564,5.2227964,0.0,0.0
4,AABR07060872.1,104.873634,4.3790145,0.0,0.0
4,Rps11,103.21308,2.461981,0.0,0.0
4,Cd79a,100.46387,4.937707,0.0,0.0
4,Ighm,96.66529,4.3164887,0.0,0.0
4,Hnrnpa2b1,89.14608,1.8469192,0.0,0.0
4,Oaz1,86.98493,1.5394855,0.0,0.0
4,Plac8,86.857216,3.3995602,0.0,0.0
4,Hsp90ab1,84.49551,1.8945624,0.0,0.0
4,Cd72,81.620056,4.7745037,0.0,0.0
4,Tifa,80.975426,4.1096554,0.0,0.0
4,Ebf1,80.66902,3.687692,0.0,0.0
4,Rps27,79.306526,1.3953985,0.0,0.0
4,Rpl27,74.70206,1.5488946,0.0,0.0
4,Rpl24,74.135155,1.6421112,0.0,0.0
4,LOC687780,74.08388,1.2622321,0.0,0.0
4,Cd24,73.19163,4.012175,0.0,0.0
4,Rpl17,71.66407,1.4902852,0.0,0.0
4,Clvs1,71.04126,2.9598315,0.0,0.0
4,Rps14,70.92132,1.3868665,0.0,0.0
4,Tpt1,70.67087,1.0978974,0.0,0.0
4,Rpl35,69.758736,1.4985839,0.0,0.0
4,Rpl13a,68.988205,1.4120443,0.0,0.0
4,Rpl26,68.94767,1.5274204,0.0,0.0
4,Hsp90aa1,68.650795,1.7463095,0.0,0.0
4,Vpreb3,68.25098,4.8986263,0.0,0.0
4,Rpl19,67.1835,1.3876731,0.0,0.0
4,Sub1,67.01447,2.1704519,0.0,0.0
4,LOC100359583,66.81782,1.5215707,0.0,0.0
4,Rpl5,66.738754,1.5588808,0.0,0.0
4,Rpl11,66.66386,1.4639158,0.0,0.0
4,Fcrla,65.70358,4.43253,0.0,0.0
4,LOC100365810,63.684586,1.3591003,0.0,0.0
4,Rpl23a,63.05052,1.3788458,0.0,0.0
4,Rps15,62.537987,1.2481065,0.0,0.0
4,Rpl37,61.69001,1.2869264,0.0,0.0
4,Rbm39,60.526714,1.5839351,0.0,0.0
4,Rps23,59.803078,1.198154,0.0,0.0
4,Dnaja1,59.655457,1.4557267,0.0,0.0
4,Rps15a,59.636456,1.3329302,0.0,0.0
4,Rpl18a,59.36957,1.2375865,0.0,0.0
4,Rps6-1,59.08684,1.2818224,0.0,0.0
4,Rpl34,59.020863,1.2340896,0.0,0.0
4,Rpl15,58.64083,1.3152694,0.0,0.0
4,Rps12,58.461338,1.1552619,0.0,0.0
4,Btg1,58.432587,1.2980229,0.0,0.0
4,Mt-co3,58.23971,1.0237615,0.0,0.0
4,Rps3,57.557823,1.1766357,0.0,0.0
4,Rpl30,57.433117,1.2636386,0.0,0.0
4,Cxcr4,56.643867,1.9709109,0.0,0.0
4,Rps29,56.608055,0.98477006,0.0,0.0
5,ENSRNOG00000062930,56.686653,2.498369,0.0,0.0
5,Col1a1,44.483105,1.5291065,0.0,0.0
5,Sparc,40.484978,1.439027,0.0,0.0
5,Col3a1,39.42861,1.3455863,0.0,0.0
5,Col1a2,38.018726,1.3684429,0.0,0.0
5,Fn1,30.334848,1.1182103,3.9807977441396135e-202,1.1209926447497152e-199
5,Hspa1b,28.418573,0.88423795,1.1922423595133404e-177,2.678740280098058e-175
5,Vim,28.346703,0.6879814,9.190957450195377e-177,2.0432949615592245e-174
5,Lum,27.3802,1.12456,4.720531498495154e-165,9.495011928401681e-163
5,Lgals1,25.93506,0.98238593,2.680577385301752e-148,4.457779084848268e-146
5,S100a6,24.51048,0.9306857,1.1420836537002269e-132,1.5075504228842993e-130
5,Serpinh1,23.664799,1.0984353,8.311609118249593e-124,9.142770030074553e-122
5,S100a4,22.679861,0.94544655,7.081159147229063e-114,6.474202648895144e-112
5,S100a10,21.879564,0.7526518,4.067110050372289e-106,3.368524088778931e-104
5,Dcn,21.435152,1.1148622,6.2827207122459044e-102,4.790291026809874e-100
5,Col6a1,19.909107,1.1767659,3.39302853151975e-88,1.968702268837833e-86
5,Htra1,19.069874,1.3080392,4.493822343209727e-81,2.217512333845548e-79
5,Bgn,18.253645,0.884733,1.935526136344016e-74,8.42851793805889e-73
5,Col5a2,18.136219,1.0524335,1.650010987708825e-73,7.040046880890987e-72
5,Tmsb10,17.412086,0.44590697,6.680453824791811e-68,2.523992572085922e-66
5,Timp1,16.515234,0.8196379,2.850500248984654e-61,9.450952159898883e-60
5,Crip1,16.476639,0.4997876,5.400543575300594e-61,1.784968392963201e-59
5,Cd63,16.050909,0.48888347,5.6333521328672e-58,1.7267982154739517e-56
5,Tnfaip6,15.762893,0.8383474,5.6009550111922445e-56,1.6316161356742097e-54
5,Col6a2,14.825271,0.9881633,1.0057305756204449e-49,2.461301246477844e-48
5,Nme2,14.147976,0.49576446,1.922109868788467e-45,4.1593197160668463e-44
5,Rps20-ps10,13.53755,0.18481585,9.386713768894981e-42,1.8424479070544794e-40
